fst,chunk
0.328767,0
0.312795,1
0.334975,2
0.318118,3
0.261663,4
0.285957,5
0.232531,6
0.277778,7
0.340825,8
0.310049,9
0.315166,10
0.29904,11
0.288579,12
0.275923,13
0.266185,14
0.29238,15
0.293831,16
0.262814,17
0.34593,18
0.303684,19
0.25331,20
0.340544,21
0.309544,22
0.32375,23
0.339353,24
0.28163,25
0.302148,26
0.306693,27
0.328781,28
0.302063,29
0.223524,30
0.300687,31
0.345192,32
0.303443,33
0.248135,34
0.267393,35
0.330325,36
0.261608,37
0.269724,38
0.296756,39
0.276029,40
0.31854,41
0.296186,42
0.276695,43
0.268861,44
0.240193,45
0.313653,46
0.324184,47
0.30162,48
0.290689,49
0.20726,50
0.279067,51
0.339826,52
0.241261,53
0.278038,54
0.300937,55
0.339627,56
0.302383,57
0.259376,58
0.352827,59
0.311951,60
0.265983,61
0.309442,62
0.332701,63
0.318045,64
0.357202,65
0.320174,66
0.298379,67
0.266683,68
0.328804,69
0.267538,70
0.324432,71
0.319463,72
0.283881,73
0.329977,74
0.272788,75
0.326148,76
0.389844,77
0.293465,78
0.344614,79
0.319755,80
0.270883,81
0.338732,82
0.247625,83
0.331417,84
0.314005,85
0.268967,86
0.350481,87
0.270046,88
0.388237,89
0.277169,90
0.314955,91
0.323288,92
0.319913,93
0.295565,94
0.315641,95
0.321925,96
0.311949,97
0.351464,98
0.338518,99
0.30220894,mean
0.03402168333557678,std
