fst,chunk
0.12675,0
0.168066,1
0.173098,2
0.140422,3
0.166535,4
0.170837,5
0.142637,6
0.172768,7
0.163761,8
0.157508,9
0.159943,10
0.18563,11
0.175301,12
0.151486,13
0.127537,14
0.129636,15
0.130669,16
0.137494,17
0.141111,18
0.157405,19
0.157159,20
0.160735,21
0.161823,22
0.125864,23
0.139381,24
0.137921,25
0.177659,26
0.21319,27
0.137947,28
0.150201,29
0.144925,30
0.124055,31
0.143657,32
0.17602,33
0.148512,34
0.133175,35
0.142745,36
0.1477,37
0.197181,38
0.146511,39
0.154579,40
0.123686,41
0.147766,42
0.152894,43
0.169528,44
0.182567,45
0.150053,46
0.161271,47
0.174821,48
0.145275,49
0.15026,50
0.19283,51
0.149837,52
0.156036,53
0.140987,54
0.148535,55
0.145235,56
0.171175,57
0.15422,58
0.160947,59
0.160583,60
0.122081,61
0.119941,62
0.181401,63
0.148035,64
0.133653,65
0.129863,66
0.147839,67
0.145126,68
0.164214,69
0.161638,70
0.148257,71
0.178826,72
0.152807,73
0.131601,74
0.159484,75
0.134117,76
0.135042,77
0.164076,78
0.161208,79
0.155508,80
0.135253,81
0.157696,82
0.150602,83
0.153234,84
0.164664,85
0.180324,86
0.141536,87
0.14044,88
0.12117,89
0.127435,90
0.13487,91
0.125003,92
0.162642,93
0.161742,94
0.163276,95
0.161917,96
0.213872,97
0.178023,98
0.15305,99
0.15339506,mean
0.01912172679262302,std
