fst,chunk
0.400416,0
0.426493,1
0.471228,2
0.445124,3
0.376288,4
0.450499,5
0.405779,6
0.401909,7
0.46171,8
0.517001,9
0.48062,10
0.521739,11
0.450735,12
0.374483,13
0.416757,14
0.465318,15
0.419144,16
0.42084,17
0.486785,18
0.423382,19
0.495311,20
0.435778,21
0.433745,22
0.395719,23
0.434804,24
0.38922,25
0.431305,26
0.458315,27
0.477917,28
0.432421,29
0.43342,30
0.396006,31
0.458713,32
0.47253,33
0.417156,34
0.486146,35
0.447464,36
0.51684,37
0.493863,38
0.445323,39
0.402643,40
0.38352,41
0.444339,42
0.41216,43
0.476514,44
0.405002,45
0.379579,46
0.428805,47
0.479015,48
0.41355,49
0.441808,50
0.419115,51
0.448047,52
0.448582,53
0.430792,54
0.426078,55
0.444176,56
0.453266,57
0.473469,58
0.434027,59
0.419739,60
0.368985,61
0.461878,62
0.414873,63
0.414291,64
0.37403,65
0.508447,66
0.46324,67
0.397465,68
0.467694,69
0.426086,70
0.463755,71
0.444016,72
0.434426,73
0.442773,74
0.434352,75
0.452071,76
0.456821,77
0.465124,78
0.388902,79
0.452604,80
0.436833,81
0.422837,82
0.363073,83
0.436204,84
0.436793,85
0.464958,86
0.421874,87
0.47724,88
0.383053,89
0.405946,90
0.453339,91
0.4084,92
0.394014,93
0.433513,94
0.442,95
0.418753,96
0.38493,97
0.398548,98
0.484648,99
0.43631260999999993,mean
0.03481579085742821,std
