neutral,selected
9996225.0,9997083.0
380.63861150903904,314.4031543604637
180.33518050800993,133.23903036896803
116.81049544327294,80.71425922740454
87.70159665158509,56.29843266416078
71.36741396751009,42.53702342602967
60.65739135372101,33.95709403829464
52.898775841634084,28.021683992490072
46.83436791645042,23.486678071120192
41.70060082635677,19.850794253250307
37.18104121601067,16.96406073433355
33.359457222792585,14.788184278804705
30.407053223191337,13.301441129121546
28.264537888239083,12.455339898656213
26.595214657663323,12.1171974416091
25.018770444675628,12.000752473121583
23.414374146097476,11.654579627747374
21.98020551092393,10.623184486434084
20.843896593388212,8.800123724512213
19.541354478792343,6.826822416184297
628.6533983201836,265.54667866117944
