neutral.pendula,selected.pendula,neutral.pubescens,selected.pubescens
177772.0,803901.0,173162.0,797018.0
1053.0,1434.0,3560.0,5460.0
392.0,493.0,1414.0,1681.0
229.0,239.0,869.0,1088.0
158.0,161.0,569.0,756.0
122.0,119.0,429.0,534.0
106.0,105.0,297.0,374.0
93.0,93.0,203.0,274.0
103.0,103.0,125.0,209.0
115.0,124.0,82.0,104.0
613.0,768.0,47.0,48.0
