neutral,selected
9996612.0,9999478.0
323.78295209578505,41.40420605800586
158.5106431442729,2.803753381831143
105.15656438086175,0.4164642854508026
79.72259415313903,0.06903835738540182
64.60914349250977,0.010615819988905035
53.74105948577609,0.0014055634929594147
45.17412963548301,0.0001569830482117258
38.407081773167135,1.4765550371451813e-05
33.22951890362648,1.1735515517329958e-06
29.385791727665183,7.911495756041036e-08
26.575201063397614,4.5363098219327365e-09
24.518378412462553,2.214717994015837e-10
22.992122938926517,9.200127075398985e-12
21.826729482411487,3.243124937787392e-13
20.888950399093837,9.654767386602616e-15
20.069869950571167,2.409948805558979e-16
19.28352840226968,4.993520359957384e-18
18.47216389147096,8.47222832469779e-20
17.610970695983255,1.1551352750160583e-21
16.707304173250307,1.2326310973913277e-23
15.793023439288147,9.899199303770013e-26
14.91188544433924,5.6186182464639625e-28
14.105646357856633,2.0067872025285116e-30
13.402691164590777,3.3886538288310405e-33
12.811923045022224,0.0
12.322845242180913,0.0
11.910900900571267,0.0
11.545777702944735,0.0
11.19988263985079,0.0
10.854582969335675,0.0
10.502845033731788,0.0
10.148174589539476,0.0
9.800853358339932,0.0
9.473079074264065,0.0
9.17464364431406,0.0
8.910313343903352,0.0
8.67933221130807,0.0
8.476730486744366,0.0
8.295616649558815,0.0
8.129486507301563,0.0
7.973782889798467,0.0
7.826358285819534,0.0
7.68694764194049,0.0
7.55608241664265,0.0
7.433977409391125,0.0
7.319805992316174,0.0
7.21153653772221,0.0
7.106255592328973,0.0
7.0007508562172704,0.0
6.892107222086351,0.0
6.778154388675057,0.0
6.6577276609543965,0.0
6.530796513693309,0.0
6.398540466698657,0.0
6.263411160625664,0.0
6.129145488879639,0.0
6.000629074671907,0.0
5.883485772192626,0.0
5.7833035969393585,0.0
5.704499155669145,0.0
5.6489540555752225,0.0
5.614695849146035,0.0
5.594997559198045,0.0
5.578283500070762,0.0
5.5491179031396705,0.0
5.4903160807414935,0.0
5.385906222787551,0.0
5.224378254700939,0.0
5.001490377551815,0.0
4.721935188364652,0.0
4.3993986213383325,0.0
4.054909992284658,0.0
3.713776195714772,0.0
3.4017186180990113,0.0
3.1410186814281458,0.0
2.9474850383434736,0.0
2.8288542303524857,0.0
2.784824166296219,0.0
2.808366720962129,0.0
2.887467104490943,0.0
3.006292486161076,0.0
3.145256216817257,0.0
3.280489096541933,0.0
3.3843717019437904,0.0
3.4291902560566476,0.0
3.3949467729177405,0.0
3.2799077709664846,0.0
3.1096129346581494,0.0
2.9383122037004332,0.0
2.837451172212186,0.0
2.8696647069867662,0.0
3.054178641390679,0.0
3.339638794932804,0.0
3.608419649105354,0.0
3.7332358903570375,0.0
3.6822896733505694,0.0
3.6127241382988795,0.0
3.8134631957821075,0.0
4.3404065142769666,0.0
705.9961540523635,0.0
