neutral.NC_chimp,neutral.bonobo,neutral.bornean_orang,neutral.central_chimp,neutral.eastern_chimp,neutral.human,neutral.sumatran_orang,neutral.western_chimp,neutral.western_lowland_gorilla,selected.NC_chimp,selected.bonobo,selected.bornean_orang,selected.central_chimp,selected.eastern_chimp,selected.human,selected.sumatran_orang,selected.western_chimp,selected.western_lowland_gorilla
1421115.002565,1454603.99845,1412158.000305,1419937.997513,1420900.999457,1626889.998709,1429611.999881,1421887.9981,1246485.997497,6171046.000788,6331302.998912,6139387.99819,6169739.996827,6170886.003838,7000976.997252,6207502.003537,6172071.992425,5488925.99504
1292.093716,1016.389278,1125.946124,2137.5841,1357.034046,1359.731422,1936.392564,855.923982,1178.461466,2142.485467,1770.143397,1657.751243,3241.267757,2149.64105,2447.73411,2521.247464,1499.200936,1958.76521
541.575018,381.76957,674.617461,664.289972,695.34646,552.741001,1135.247597,282.874931,627.62246,788.140297,611.60321,782.992561,787.266289,919.487357,948.755622,1307.898264,433.438957,855.355386
335.66657,193.727645,493.544036,276.630572,451.845848,395.132502,678.104313,180.600642,391.575094,451.570884,255.375243,572.817947,320.963235,551.359876,596.604397,776.964792,269.703405,567.557935
263.0,115.0,378.0,156.0,281.0,284.0,499.0,110.0,274.0,303.0,170.0,456.0,199.0,345.0,422.0,530.0,195.0,374.0
202.33343,73.272355,332.455964,130.369428,241.154152,197.867498,392.895687,105.399358,209.424906,248.429116,137.624757,363.182053,133.036765,231.640124,282.395603,344.035208,142.296595,273.442065
173.424982,69.23043,302.382539,109.710028,173.65354,184.258999,334.752403,114.125069,191.37754,198.859703,87.39679,326.007439,123.733711,195.512643,200.244378,297.101736,115.561043,197.644614
208.906284,88.610722,352.053876,151.4159,148.965954,168.268578,341.607436,216.076018,189.538534,205.514533,132.856603,311.248757,165.732243,213.35895,195.26589,324.752536,251.799064,218.23479
40142.997435,40804.00155,38978.999695,39869.002487,40001.000543,48111.001291,39284.000119,40471.0019,34162.002503,44497.999212,46275.001088,44305.00181,44183.003173,44357.996162,52396.002748,44414.996463,44870.007575,39596.00496
