selected,neutral
1454711.8004667445,1282254.1995332555
833.0,620.0
238.0,254.0
163.0,164.0
147.0,134.0
119.0,111.0
96.0,98.0
81.0,80.0
76.0,74.0
69.0,71.0
0.0,0.0
