neutral,selected
999455489.0,999816761.0
53289.025099500315,13130.4479346843
27639.83599306577,4945.035323551963
19819.304493822325,3077.3490456654895
16658.01897248059,2370.0067734806134
15299.465528287106,2050.929351704586
14432.33645367217,1856.302417828388
13365.549767958997,1666.912007711209
11970.707661234914,1452.5243396644616
10527.059532482146,1240.044942849786
9390.283361670996,1069.1166229181697
8699.405901507504,955.7615074625784
8286.65801668427,881.9116350749241
7802.226732046355,809.8026325222702
6960.312046679716,708.5415752070571
5742.850579659147,574.9343880107907
4400.682148130009,433.1039606042967
3249.3686320432103,313.85031608037025
2451.7871673763716,233.00198713778514
1972.2013744756016,185.17090726589137
27218.990460688714,2477.116319363535
