neutral,selected
999697920.8239369,999817081.9499063
37736.045366763334,18627.48483303148
19403.64526568271,7223.032402005267
13569.538325512882,4354.7306286249195
10763.483209837148,3137.7670572953443
9159.882414196689,2490.0162345691856
8166.787768592698,2105.3251733337593
7532.565438803962,1867.5269804906507
7134.623898461268,1723.000583902457
6913.04894215178,1644.7276512489211
3420.7974387492395,809.9452242045976
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
