neutral,selected
999828903.0,999889776.0
11179.066144028844,8701.970023556018
6279.970034282388,4419.2205233598115
4636.994529114957,3099.219296245696
3812.7683922357414,2462.1237256902855
3318.9670637201307,2086.1824956466867
2983.7173274651905,1835.668276598374
2735.718627334143,1656.8519736030134
2543.410241533977,1524.1380086834295
2389.5364105835347,1421.9665223774746
2261.985996616862,1339.4584601176716
2152.1346964367285,1269.3441900640485
2055.3366818225004,1207.750943049742
1970.9857822560743,1153.5016136154663
1900.6150181081207,1106.565152386282
1843.8726669258429,1066.4426061864667
1794.6564353641386,1031.4917646611002
1741.8652946352079,998.7222263155874
1680.1712652092708,963.7256968500942
1627.4316610515373,924.9201711674715
78606.415139246,41973.4520662603
