neutral,selected
999622866.0,999727205.0
37566.247942768416,26963.601886401764
18565.53451611954,12151.864957703481
12309.901969168648,7704.750895436487
9211.835480646116,5590.946730370987
7365.457449668444,4362.090916466156
6130.588024927436,3559.1011985569708
5238.376681887701,2993.9191090648255
4562.840233702603,2576.130626179099
4038.501494795377,2256.2758314453863
3624.892201599726,2004.6312534962703
3291.976773247229,1802.7616567141652
3016.1382508747215,1639.2918105511756
2780.7519234603255,1506.3848048204882
2577.055842784505,1396.7427700488506
2402.311053475106,1302.4972630116936
2255.3412328398113,1216.8895811409925
2132.462300027848,1137.8357114923904
2024.607968839055,1069.16689521435
1920.6156180325013,1014.1708146636521
65190.3515277531,34622.17564503885
