neutral,selected
999434998.0,999591173.0
58371.71909574147,40012.99058821526
30011.88941096781,18707.08083116046
20881.102989272986,12456.572234737543
16581.672825584297,9636.630622297313
14192.157666996565,8097.509158009546
12628.90550080579,7104.426587705327
11382.381169536582,6332.632760335599
10244.91722321739,5648.781810895628
9187.837229442332,5026.6611948772415
8249.005312991196,4481.026327164627
7444.112219703817,4016.6257731407
6732.717679825691,3608.696928894477
6041.796039617481,3216.009696862883
5319.271374160139,2810.006918325129
4574.266973016729,2396.0650560647787
3870.486461469034,2009.1043194860342
3277.1376625605517,1686.0415561645616
2819.3685252542136,1438.6317150272318
2472.890723470923,1254.2752462399555
33681.01199337822,17229.079527387312
