fst,chunk
0.466261,0
0.521641,1
0.435353,2
0.406853,3
0.382823,4
0.430993,5
0.415895,6
0.447143,7
0.404872,8
0.412234,9
0.440658,10
0.402898,11
0.400471,12
0.407515,13
0.427153,14
0.386497,15
0.358974,16
0.395198,17
0.417493,18
0.384452,19
0.434346,20
0.390134,21
0.416932,22
0.413584,23
0.377295,24
0.448633,25
0.435749,26
0.45715,27
0.381872,28
0.397872,29
0.428723,30
0.381731,31
0.425404,32
0.396242,33
0.439443,34
0.431529,35
0.410997,36
0.393358,37
0.424639,38
0.495305,39
0.407992,40
0.459059,41
0.406532,42
0.394862,43
0.408423,44
0.439776,45
0.425595,46
0.419028,47
0.409733,48
0.442044,49
0.365336,50
0.35213,51
0.383734,52
0.39499,53
0.434686,54
0.491818,55
0.422475,56
0.444935,57
0.408473,58
0.428548,59
0.393031,60
0.403754,61
0.463065,62
0.417745,63
0.44355,64
0.434219,65
0.436851,66
0.444882,67
0.462055,68
0.394089,69
0.378549,70
0.362102,71
0.409292,72
0.473334,73
0.389625,74
0.472623,75
0.389213,76
0.460271,77
0.3859,78
0.42744,79
0.388253,80
0.372379,81
0.3774,82
0.447854,83
0.381394,84
0.444951,85
0.451611,86
0.376851,87
0.362675,88
0.406937,89
0.401205,90
0.496779,91
0.403958,92
0.446627,93
0.369021,94
0.420644,95
0.460062,96
0.423704,97
0.42175,98
0.412413,99
0.41774542000000003,mean
0.03288682248953495,std
