selected,neutral
1131093.430463576,967126.5695364238
468.0,333.0
191.0,163.0
147.0,118.0
95.0,114.0
86.0,75.0
62.0,63.0
63.0,56.0
54.0,58.0
55.0,64.0
0.0,0.0
