fst,chunk
0.127839,0
0.1489,1
0.150635,2
0.147395,3
0.167791,4
0.170079,5
0.156108,6
0.124427,7
0.157703,8
0.166537,9
0.105116,10
0.125137,11
0.128095,12
0.151542,13
0.146526,14
0.149682,15
0.176845,16
0.109296,17
0.145899,18
0.149728,19
0.107448,20
0.150407,21
0.150092,22
0.160224,23
0.130294,24
0.100807,25
0.131655,26
0.139314,27
0.131217,28
0.13784,29
0.146216,30
0.127637,31
0.154191,32
0.144718,33
0.131033,34
0.135316,35
0.151938,36
0.139884,37
0.131829,38
0.138256,39
0.137573,40
0.132885,41
0.134926,42
0.134551,43
0.131924,44
0.139149,45
0.145859,46
0.129264,47
0.160469,48
0.0919772,49
0.205302,50
0.109597,51
0.126502,52
0.149922,53
0.137141,54
0.151623,55
0.125851,56
0.147913,57
0.152286,58
0.148508,59
0.136679,60
0.14823,61
0.122962,62
0.131363,63
0.158307,64
0.165616,65
0.142023,66
0.127004,67
0.106218,68
0.116668,69
0.138046,70
0.169025,71
0.119292,72
0.205479,73
0.202797,74
0.122117,75
0.148157,76
0.164854,77
0.112445,78
0.144262,79
0.12699,80
0.113525,81
0.169374,82
0.125013,83
0.155814,84
0.146582,85
0.105134,86
0.116541,87
0.149328,88
0.158085,89
0.148033,90
0.145788,91
0.130076,92
0.161676,93
0.129403,94
0.130273,95
0.142015,96
0.143502,97
0.138111,98
0.152861,99
0.141084862,mean
0.02039153995079837,std
