neutral,selected
999425087.0,999584730.0
57902.31934647169,39990.144054543984
29861.497660453682,18784.274264112657
21262.101534491587,12762.424353736356
17681.914111432692,10302.439785533561
16030.442971195125,9163.782919136449
14949.830080507076,8440.896134593062
13741.370844735988,7686.7945058903915
12258.819908281035,6796.1890876451125
10748.106048444663,5896.7895829353
9533.134300876247,5166.236173570082
8741.470735771516,4677.0723779459795
8221.037115621675,4350.522010035484
7655.240867055476,4019.0403496057666
6787.192152945287,3545.7629597412874
5603.511348244652,2920.721027239417
4333.2545041952435,2259.2414917967444
3259.526839094504,1702.8780557867049
2521.100721433023,1317.2845987422318
2076.6864661400045,1078.6986103929207
25138.28785142367,12730.385969658828
