fst,chunk
0.156658,0
0.151552,1
0.157284,2
0.152575,3
0.135824,4
0.167261,5
0.147602,6
0.168752,7
0.140673,8
0.153981,9
0.13979,10
0.188235,11
0.147821,12
0.156917,13
0.164381,14
0.137768,15
0.167898,16
0.154199,17
0.140959,18
0.167662,19
0.150072,20
0.130512,21
0.179082,22
0.147159,23
0.1437,24
0.151333,25
0.145889,26
0.149568,27
0.163899,28
0.161887,29
0.161364,30
0.140195,31
0.163232,32
0.159986,33
0.1496,34
0.158681,35
0.135733,36
0.179928,37
0.177867,38
0.163041,39
0.197544,40
0.13869,41
0.156675,42
0.178176,43
0.145845,44
0.162113,45
0.172388,46
0.146378,47
0.155296,48
0.149428,49
0.158149,50
0.162433,51
0.163529,52
0.155467,53
0.189691,54
0.171843,55
0.170936,56
0.160564,57
0.166673,58
0.157139,59
0.152347,60
0.144011,61
0.148591,62
0.166885,63
0.161084,64
0.144104,65
0.17462,66
0.151202,67
0.1439,68
0.162641,69
0.153664,70
0.164181,71
0.168525,72
0.167171,73
0.155626,74
0.151623,75
0.15815,76
0.170658,77
0.195689,78
0.179622,79
0.139392,80
0.169173,81
0.181675,82
0.149467,83
0.138131,84
0.172501,85
0.133787,86
0.128679,87
0.143133,88
0.149375,89
0.152979,90
0.178211,91
0.157328,92
0.150713,93
0.142087,94
0.139717,95
0.141477,96
0.15632,97
0.14542,98
0.147772,99
0.15701108,mean
0.01424926294013026,std
